Drug,Drug Mechanism,Target Gene(s),Drug Constrained Regulon Activity,Drug Constrained Program Activity,All Regulon(s),Overactive Regulon(s),Underactive Regulon(s),All Program(s),Overactive Program(s),Underactive Program(s),Regulon Activity Summary,Program Activity Summary,Mutations,Regulators,MINER Target Type,max_glioblastoma.multiforme_phase,Other FDA Appr.,TargetMutatedInPatient,MutatedInPatient,TargetType,MutatedDetail,Drug Action,Molecule Type,Target Class,Toxicity Class,MEDDRA Code,CHEMBL_ID,Reactome,GO,Hallmarks
MECASERMIN,Insulin-like growth factor I receptor agonist,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,AGONIST,Protein,Enzyme,,,CHEMBL1201716,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
ROBATUMUMAB,Insulin-like growth factor I receptor antagonist,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,ANTAGONIST,Antibody,Enzyme,,,CHEMBL1743064,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
BIIB-022,Insulin-like growth factor I receptor inhibitor,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Antibody,Enzyme,,,CHEMBL2109356,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
AVE-1642,Insulin-like growth factor I receptor antagonist,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,ANTAGONIST,Antibody,Enzyme,,,CHEMBL2109357,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
GANITUMAB,Insulin-like growth factor I receptor antagonist,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,ANTAGONIST,Antibody,Enzyme,,,CHEMBL1743024,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
MECASERMIN RINFABATE,Insulin-like growth factor I receptor agonist,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,AGONIST,Protein,Enzyme,,,CHEMBL1201717,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
TEPROTUMUMAB,Insulin-like growth factor I receptor antagonist,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,ANTAGONIST,Antibody,Enzyme,,,CHEMBL1743079,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
AXL-1717,Insulin-like growth factor I receptor inhibitor,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Small molecule,Enzyme,,,CHEMBL283120,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
CIXUTUMUMAB,Insulin-like growth factor I receptor antagonist,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,ANTAGONIST,Antibody,Enzyme,,,CHEMBL1743001,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
FIGITUMUMAB,Insulin-like growth factor I receptor antagonist,IGF1R,1,1,3749,3749,NA,127,127,NA,O: 1 U: 0 A: 1,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,ANTAGONIST,Antibody,Enzyme,,,CHEMBL1743019,NA:NA:NA:NA:NA,GO_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION:GO_CIRCADIAN_RHYTHM:GO_PROTEIN_AUTOPHOSPHORYLATION:GO_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR:GO_RHYTHMIC_PROCESS,HALLMARK_UV_RESPONSE_DN:HALLMARK_ESTROGEN_RESPONSE_EARLY
