Drug,Drug Mechanism,Target Gene(s),Drug Constrained Regulon Activity,Drug Constrained Program Activity,All Regulon(s),Overactive Regulon(s),Underactive Regulon(s),All Program(s),Overactive Program(s),Underactive Program(s),Regulon Activity Summary,Program Activity Summary,Mutations,Regulators,MINER Target Type,max_glioblastoma.multiforme_phase,Other FDA Appr.,TargetMutatedInPatient,MutatedInPatient,TargetType,MutatedDetail,Drug Action,Molecule Type,Target Class,Toxicity Class,MEDDRA Code,CHEMBL_ID,Reactome,GO,Hallmarks
CARMUSTINE,RNA inhibitor:DNA inhibitor:Glutathione reductase inhibitor,GSR,1,1,"1663,2320,2679,41,644,681,707","1663,2320,2679,41,644,681,707",NA,101,101,NA,O: 7 U: 0 A: 7,O: 1 U: 0 A: 1,,,Regulon_Gene,4,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR:INHIBITOR:INHIBITOR,Small molecule,Enzyme,,,CHEMBL513,NA:NA:NA:NA:NA,GO_STRESS_GRANULE_ASSEMBLY:GO_REGULATION_OF_CIRCADIAN_RHYTHM:NA:NA:NA,
HYDROXYUREA,Ribonucleoside-diphosphate reductase RR1 inhibitor,RRM2,0.9230769230769231,0,"1030,1720,1818,2051,2292,2529,3637,366,3676,501,693,906,964","1030,1720,1818,2051,2292,3637,366,3676,501,693,906,964",NA,153,NA,NA,O: 12 U: 0 A: 13,O: 0 U: 0 A: 1,,,Regulon_Gene,3,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Small molecule,Enzyme,Carcinogenicity:Hematological toxicity,10029104.0:10005329.0,CHEMBL467,Cellular Senescence:Oxidative Stress Induced Senescence:RNA Polymerase I Promoter Opening:DNA methylation:Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,GO_NUCLEOSOME_ASSEMBLY:GO_NUCLEOSOME_ORGANIZATION:GO_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY:GO_DNA_PACKAGING:GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,
CAPECITABINE,RNA inhibitor:DNA inhibitor:Thymidylate synthase inhibitor,TYMS,1,0,"941,982","941,982",NA,74,NA,NA,O: 2 U: 0 A: 2,O: 0 U: 0 A: 1,,,Regulon_Gene,2,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR:INHIBITOR:INHIBITOR,Small molecule,Enzyme,,,CHEMBL1773,Unwinding of DNA:DNA strand elongation:G1/S Transition:Mitotic G1 phase and G1/S transition:Synthesis of DNA,GO_CELL_CYCLE_DNA_REPLICATION:GO_CELL_CYCLE_G1_S_PHASE_TRANSITION:GO_DNA_DEPENDENT_DNA_REPLICATION:GO_DNA_REPLICATION:GO_ORGANELLE_FISSION,HALLMARK_E2F_TARGETS:HALLMARK_G2M_CHECKPOINT:HALLMARK_MYC_TARGETS_V1:HALLMARK_MITOTIC_SPINDLE:HALLMARK_MTORC1_SIGNALING
CERITINIB,ALK tyrosine kinase receptor inhibitor,ALK,1,1,"3401,3417","3401,3417",NA,45,45,NA,O: 2 U: 0 A: 2,O: 1 U: 0 A: 1,,,Regulon_Gene,2,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Small molecule,Enzyme,,,CHEMBL2403108,RAF/MAP kinase cascade:MAPK1/MAPK3 signaling:FLT3 Signaling:Constitutive Signaling by Aberrant PI3K in Cancer:MAPK family signaling cascades,GO_REGULATION_OF_MAP_KINASE_ACTIVITY:GO_PROTEIN_AUTOPHOSPHORYLATION:NA:NA:NA,
RASAGILINE,Monoamine oxidase B inhibitor,MAOB,1,1,"1437,2971,873","1437,2971,873",NA,89,89,NA,O: 3 U: 0 A: 3,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Small molecule,Enzyme,,,CHEMBL887,Passive transport by Aquaporins:Vasopressin regulates renal water homeostasis via Aquaporins:Aquaporin-mediated transport:NA:NA,GO_FLUID_TRANSPORT:NA:NA:NA:NA,
SELEGILINE HYDROCHLORIDE,Monoamine oxidase B inhibitor,MAOB,1,1,"1437,2971,873","1437,2971,873",NA,89,89,NA,O: 3 U: 0 A: 3,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Small molecule,Enzyme,,,CHEMBL1200904,Passive transport by Aquaporins:Vasopressin regulates renal water homeostasis via Aquaporins:Aquaporin-mediated transport:NA:NA,GO_FLUID_TRANSPORT:NA:NA:NA:NA,
SELEGILINE,Monoamine oxidase B inhibitor,MAOB,1,1,"1437,2971,873","1437,2971,873",NA,89,89,NA,O: 3 U: 0 A: 3,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Small molecule,Enzyme,Psychiatric toxicity,10037175,CHEMBL972,Passive transport by Aquaporins:Vasopressin regulates renal water homeostasis via Aquaporins:Aquaporin-mediated transport:NA:NA,GO_FLUID_TRANSPORT:NA:NA:NA:NA,
SAFINAMIDE MESYLATE,Monoamine oxidase B inhibitor,MAOB,1,1,"1437,2971,873","1437,2971,873",NA,89,89,NA,O: 3 U: 0 A: 3,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Small molecule,Enzyme,,,CHEMBL48582,Passive transport by Aquaporins:Vasopressin regulates renal water homeostasis via Aquaporins:Aquaporin-mediated transport:NA:NA,GO_FLUID_TRANSPORT:NA:NA:NA:NA,
RASAGILINE MESYLATE,Monoamine oxidase B inhibitor,MAOB,1,1,"1437,2971,873","1437,2971,873",NA,89,89,NA,O: 3 U: 0 A: 3,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Small molecule,Enzyme,,,CHEMBL1201142,Passive transport by Aquaporins:Vasopressin regulates renal water homeostasis via Aquaporins:Aquaporin-mediated transport:NA:NA,GO_FLUID_TRANSPORT:NA:NA:NA:NA,
SAFINAMIDE,Monoamine oxidase B inhibitor,MAOB,1,1,"1437,2971,873","1437,2971,873",NA,89,89,NA,O: 3 U: 0 A: 3,O: 1 U: 0 A: 1,,,Regulon_Gene,NA,TRUE,FALSE,FALSE,Regulon_Gene,,INHIBITOR,Small molecule,Enzyme,,,CHEMBL396778,Passive transport by Aquaporins:Vasopressin regulates renal water homeostasis via Aquaporins:Aquaporin-mediated transport:NA:NA,GO_FLUID_TRANSPORT:NA:NA:NA:NA,
